SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390,Fish_100
366,Priacanthus,Paeony bulleye,blochii,Paeony bulleye,Priacanthidae,0,0,1,0,0,0,0,0,0,1
367,Heteropriacanthus,Glasseye,cruentatus,Glasseye,Priacanthidae,0,0,1,0,0,0,0,0,0,1
368,Malacanthus,Tilefishes,spp.,Tilefishes,Malacanthidae,0,0,0,0,0,0,0,0,0,1
369,Priacanthus,Moontail bullseye,hamrur,Moontail bullseye,Priacanthidae,0,0,1,0,0,0,0,0,0,1
370,Mulloidichthys,Yellow goatfishes (unknwn),spp.,Yellow goatfishes (unknwn),Mullidae,0,0,0,0,0,0,0,0,0,1
371,Mulloidichthys,Yellowstripe goatfish,flavolineatus,Yellowstripe goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
372,Mulloidichthys,Yellowfin goatfish,vanicolensis,Yellowfin goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
373,Parupeneus,Dash-and-dot goatfish,barberinus,Dash-and-dot goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
374,Parupeneus,Yellowsaddle goatfish,cyclostomus,Yellowsaddle goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
375,Mulloidichthys,Pink goatfish,pfluegeri,Pink goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
376,Parupeneus,Redspot goatfish,heptacanthus,Redspot goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
377,Parupeneus,Indian goatfish,indicus,Indian goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
378,Parupeneus,Parupenus insularis,insularis,Parupenus insularis,Mullidae,0,0,0,0,0,0,0,0,0,1
379,Pempheris,Sweepers,spp.,Sweepers,Pempherididae,0,0,0,0,0,0,0,0,0,1
380,Multi-species,Inshore groupers,spp.,Inshore groupers,Serranidae,0,0,1,1,0,0,0,1,0,1
381,Parupeneus,Side spot goatfish,pleurostigma,Side spot goatfish,Mullidae,0,0,0,0,0,0,0,0,0,1
382,Balistoides,Clown triggerfish,conspicillum,Clown triggerfish,Balistidae,0,0,0,0,0,0,0,0,0,1
383,Multi-genera,Triggerfishes,Multi-species,Triggerfishes,Balistidae,0,0,0,0,0,0,0,0,0,1
384,Balistoides,Wedged picassofish,rectangulus,Wedged picassofish,Balistidae,0,0,0,0,0,0,0,0,0,1
385,Chaetodon,Butterflyfishes,spp.,Butterflyfishes,Chaetodontidae,0,0,0,0,0,0,0,0,0,1
386,Diodon,Porcupinefish,spp.,Porcupinefish,Diodontidae,0,0,0,0,0,0,0,0,0,1
387,Balistoides,Titan triggerfish,viridescens,Titan triggerfish,Balistidae,0,0,0,0,0,0,0,0,0,1
388,Zanclus,Moorish Idol,cornutus,Moorish Idol,Zanclidae,0,0,0,0,0,0,0,0,0,1
390,Multi-genera,Inshore snappers,Multi-species,Inshore snappers,Lutjanidae,0,0,1,0,1,0,0,0,1,1
392,Lutjanus,Twinspot/red snapper 2,bohar,Twinspot/red snapper 2,Lutjanidae,0,0,1,0,1,0,0,0,1,1
400,Multi-genera,Pelagic fishes (unknown),Multi-species,Pelagic fishes (unknown),Multi-family,0,0,0,0,0,0,0,0,0,1
403,Tetrapturus,Striped marlin,audax,Striped marlin,Istiophoridae,0,0,0,0,0,0,0,0,0,1
404,Coryphaena,Mahimahi,hippurus,Mahimahi,Coryphenidae,0,0,0,0,0,0,0,0,0,1
405,Xiphias,Swordfish,gladius,Swordfish,Xiphiidae,0,0,0,0,0,0,0,0,0,1
