"SPECIES_FK","SCIENTIFIC_NAME","COMMON_NAME","LOCAL_NAME"
"390","Multi-genera Multi-species","Inshore snappers","Mu"
"392","Lutjanus bohar","Twinspot/red snapper 2","Mumea, Mu (Twinspot Red)"
"400","Multi-genera Multi-species","Pelagic fishes (unknown)","NULL"
"404","Coryphaena hippurus","Mahimahi","Masimasi"
"405","Xiphias gladius","Swordfish","Saula malie"
"406","Makaira nigricans","Blue marlin","Saula oso (Blue)"
"407","Makaira indica","Black marlin","Saula oso (Black)"
"408","Istiophorus platypterus","Sailfish","Saula lele"
"409","Tetrapturus angustirostris","Spearfish","Saula gutu puu"
"410","Elagatis bipinnulatus","Rainbow runner","Samani"
"412","Acanthocybium solandri","Wahoo","Paala"
"450","Multi-genera Multi-species","Tunas (unknown)","Atualo"
"452","Katsuwonus pelamis","Skipjack tuna","Gaogo, Naono, Naogo, Faolua, Aku,"
"454","Gymnosarda unicolor","Dogtooth tuna","Tagi"
"455","Thunnus alalunga","Albacore tuna","Apakoa"
"456","Thunnus albacares","Yellowfin tuna","Asiasi"
"457","Thunnus obesus","Bigeye tuna","NULL"
"458","Euthynnus affinis","Kawakawa","Kavalau"
"459","Lampris guttatus","Moonfish","NULL"
"460","Masturus lanceolatus","Sunfish","NULL"
"501","Multi-species spp.","Crabs","Paa"
"5011","Carpillius maculatus","Spotted/7-11reef crab","Kuku"
"5013","Multi-genera Multi-species","Pa'a crabs","Paa (Paa)"
"503","Scylla paramamosian","Mangrove crab","Paalemago"
"504","Panulirus pencillatus","Spiny lobster","Ula sami"
"505","Parribacus caledonicus","Slipper lobster","Papata, Papaka"
"506","Octopus spp.","Octopus","Fee"
"5063","Cephalopholis miniata","Coral grouper","NULL"
"5065","Lethrinus harak","One spot emperor","NULL"
"507","Multi-genera Multi-species","Hermit crab","Uga"
"5075","Lethrinus olivaceus","Longface emperor","NULL"
"5079","Oxycheilinus unifasciatus","Ringtail wrasse","NULL"
"5083","Scarus niger","Swarthy parrotfish","NULL"
"5084","Scarus xanthopleura","Red parrotfish","NULL"
"5097","Panulirus penicillatus, versicolor","Spiny lobster (unspecified","NULL"
"510","Multi-genera Multi-species","Squid","Nufee"
"5106","Lethrinus xanthochilus","Yellowlip emperor","NULL"
"5109","Epinephelus fuscoguttatus","Brown-marbled grouper","NULL"
"5111","Epinephelus howlandi","Blacksaddle grouper","NULL"
"5114","Cetoscarus bicolor","Bicolor parrotfish","NULL"
"5115","Diodon hystrix","Porcupinefish","NULL"
"5116","Acanthurus auranticavus","Orange-socket surgeonfish","NULL"
"5131","Plectorhinchus gibbosus","Blubberlip, Harry hotlips","NULL"
"5135","Epinephelus macrospilos","Snubnose grouper","NULL"
"5140","Pseudobalistes flavimarginatus","Yellowmargin triggerfish","NULL"
"5144","Epinephelus spilotoceps","Foursaddle grouper","NULL"
"5160","Polydactylus sexfilis","Sixfinger threadfin","NULL"
"5163","Epinephelus polyphekadion","Camouflage grouper","NULL"
"5168","Plectorhinchus picus","Dotted sweetlips","NULL"
"5173","Gnathanodon speciosus","Golden trevally","NULL"
"5177","Plectropomus maculatus","Spotted coral grouper","NULL"
"5178","Rastrelliger kanagurta","Long-jawed mackerel","NULL"
"5185","Acanthurus grammoptilus","Fine-lined surgeonfish","NULL"
"520","Tridacna derasa","Giant clam (Southern)","Faisua"
"5200","Siganus vermiculatus","Vermiculate rabbitfish","NULL"
"5202","Etisus dentatus","Red crab","NULL"
"5208","Paracaesio sordida","False fusilier, Dirty ordu","NULL"
"5212","Pugoplites navarchus","Regal angelfish","NULL"
"5221","Lethrinus obsoletus","Orange striped emperor","NULL"
"5224","Caranx tille","Tille trevally","NULL"
"5232","Grammatorcynos bilineatus","Double-lined mackerel","NULL"
"5236","Siganus guttatus","Golden rabbitfish","NULL"
"5242","Abalistes stellatus","Starry triggerfish","NULL"
"5243","Lutjanus erythropterus","Crimson snapper","Vivaneau cramoisi (Fr)"
"5244","Upeneus moluccencis","Goldband goatfish","NULL"
"5245","Sufflamen bursa","Boomerang/Scythe triggerfi","NULL"
"5246","Carangoides chrysophrys","Longnose trevally","NULL"
"701","Oncorhynchus, Salmo spp.","Salmon","NULL"
"823","Multi-genera Multi-species","Sea cucumber - gau","Gau"
"907","Platax spp.","Spadefish","Pe'ape'a"
"908","Paracaesio xanthura","Yellowtail blue snapper","NULL"
