SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390
342,Myripristis,Bronze soldierfish,adustus,Bronze soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
3411,Myripristis,Brick soldierfish,amaena,Brick soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
347,Neoniphon,Yellowstriped squirrelfish,aurolineatus,Yellowstriped squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
345,Myripristis,Bigscale soldierfish,berndti,Bigscale soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
352,Sargocentron,Tailspot squirrelfish,caudimaculatum,Tailspot squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
3412,Myripristis,Yellowfin soldierfish,chryseres,Yellowfin soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
353,Sargocentron,Crown squirrelfish,diadema,Crown squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
5171,Sargocentron,Yellow-striped squirrelfis,ensifer,Yellow-striped squirrelfis,Holocentridae,0,0,0,0,0,0,0,0,0
3413,Myripristis,Double tooth soldierfish,hexagona,Double tooth soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
343,Myripristis,Pearly soldierfish,kuntee,Pearly soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
359,Sargocentron,Blackspot squirrelfish,melanospilos,Blackspot squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
356,Sargocentron,Filelined squirrelfish,microstoma,Filelined squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
3414,Myripristis,Blotcheye soldierfish,murdjan,Blotcheye soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
348,Neoniphon,Blackfin squirrelfish,opercularis,Blackfin squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
344,Myripristis,Scarlet soldierfish,pralinius,Scarlet soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
354,Sargocentron,Peppered squirrelfish,punctatissimum,Peppered squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
351,Neoniphon,Sammara squirrelfish,sammara,Sammara squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
341,Sargocentron,Saber squirrelfish,spiniferum,Saber squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
3410,Myripristis,Soldierfishes,spp.,Soldierfishes,Holocentridae,0,0,0,0,0,0,0,0,0
340,Sargocentron,Squirrelfishes,spp.,Squirrelfishes,Holocentridae,0,0,0,0,0,0,0,0,0
3511,Sargocentron,Bluelined squirrelfish,tiere,Bluelined squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
358,Sargocentron,Violet squirrelfish,violaceum,Violet squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
346,Myripristis,Violet soldierfish,violaceus,Violet soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
3415,Myripristis,Whitetip soldierfish,vittata,Whitetip soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
3416,Myripristis,Whitespot Soldierfish,woodsi,Whitespot Soldierfish,Holocentridae,0,0,0,0,0,0,0,0,0
3513,Sargocentron,Hawaiian squirrelfish,xantherythrum,Hawaiian squirrelfish,Holocentridae,0,0,0,0,0,0,0,0,0
3512,Sargocentron,Pink squirrelfish,tieroides,Pink squirrelfish,Holocentridae`,0,0,0,0,0,0,0,0,0
